name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
Corsair Vengeance LPX 16 GB,44.99,42666,28,2.812,White,12.003,16.0
Samsung M378A2K43CB1-CTD 16 GB,30.0,42666,116,1.875,Green / Black,14.254,19.0
Corsair Vengeance 16 GB,64.98,55200,116,4.061,Black,15.385,40.0
TEAMGROUP T-Create Expert 32 GB,52.99,43200,216,1.656,Gray,10.0,16.0
Crucial Ballistix 16 GB,0.0,43200,28,0.0,Black,10.0,16.0
Corsair Dominator Titanium 96 GB,474.99,56000,424,4.948,Black,10.0,30.0
TEAMGROUP T-Force Delta RGB 32 GB,99.99,55600,216,3.125,White,11.429,32.0
Corsair Vengeance 64 GB,169.99,55200,232,2.656,White,15.385,40.0
TEAMGROUP T-Force Vulcan 32 GB,104.99,56400,216,3.281,Black / Silver,10.0,32.0
G.Skill Ripjaws X 16 GB,36.99,31600,28,2.312,Black / Red,12.5,10.0
Klevv BOLT X 16 GB,38.99,43600,28,2.437,Black,10.0,18.0
G.Skill Aegis 16 GB,35.99,43000,28,2.249,Black / Red,10.667,16.0
G.Skill Ripjaws S5 96 GB,329.99,56400,248,3.437,Black,10.0,32.0
Corsair Dominator Titanium 32 GB,199.99,57200,216,6.25,White,9.444,34.0
Kingston FURY Beast 32 GB,117.99,55600,216,3.687,Black,12.857,36.0
Corsair Vengeance LPX 16 GB,47.99,43600,28,2.999,Black / Yellow,10.0,18.0
Crucial CT64G4YFQ426S 64 GB,649.95,42666,164,10.155,Green / Black,14.254,19.0
Kingston FURY Beast RGB 16 GB,54.99,43200,28,3.437,Black,10.0,16.0
G.Skill Trident Z Royal 32 GB,105.99,43600,216,3.312,Silver,10.556,19.0
Patriot Viper Steel 32 GB,67.99,43200,216,2.125,Silver / Black,10.0,16.0
TEAMGROUP T-Create Classic 16 GB,32.49,43200,28,2.031,Silver,13.75,22.0
TEAMGROUP Elite 16 GB,49.99,54800,28,3.124,Black,16.667,40.0
Patriot Viper Steel 16 GB,43.99,43200,28,2.749,Silver / Black,10.0,16.0
G.Skill Trident Z Royal 256 GB,1499.0,43600,832,5.855,Gold,10.0,18.0
Patriot Viper 4 Blackout 64 GB,116.99,43600,232,1.828,Black,10.0,18.0
Patriot Viper Xtreme 5 32 GB,169.99,58200,216,5.312,Black,9.268,38.0
G.Skill Trident Z5 RGB 32 GB,112.99,56000,216,3.531,White / Black,10.0,30.0
G.Skill Ripjaws V 64 GB,128.99,43600,232,2.015,Black,10.0,18.0
TEAMGROUP Elite Plus 16 GB,52.99,54800,28,3.312,Black,16.667,40.0
Kingston FURY Beast 64 GB,219.99,56000,232,3.437,Black / Silver,12.0,36.0
Corsair Vengeance 64 GB,279.99,56600,416,4.375,Black / Gray,9.697,32.0
Corsair Vengeance LPX 32 GB,94.99,43600,216,2.968,Black / Yellow,8.889,16.0
Corsair Vengeance LPX 16 GB,39.99,43000,116,2.499,Black,10.667,16.0
Corsair Vengeance 32 GB,119.99,56000,216,3.75,Gray,12.0,36.0
G.Skill Trident Z5 RGB 32 GB,239.99,58000,216,7.5,Black,9.5,38.0
Corsair Dominator Platinum RGB 64 GB,224.99,55600,232,3.515,White,14.286,40.0
TEAMGROUP T-Force Vulcan 32 GB,92.99,55600,216,2.906,Black,11.429,32.0
TEAMGROUP T-Force Delta RGB 32 GB,99.99,55600,216,3.125,Black,11.429,32.0
Corsair Vengeance RGB Pro 64 GB,149.99,43200,232,2.344,Black,10.0,16.0
Kingston FURY Beast RGB 16 GB,81.99,56000,28,5.124,Black,13.333,40.0
Corsair Vengeance RGB 64 GB,207.99,56000,232,3.25,Black,13.333,40.0
Corsair Vengeance LPX 128 GB,264.99,43200,432,2.07,Black / Yellow,10.0,16.0
TEAMGROUP T-Force Delta RGB 32 GB,121.99,57200,216,3.812,Black / White,9.444,34.0
TEAMGROUP T-Force Delta RGB 16 GB,46.99,43200,28,2.937,Black,10.0,16.0
Kingston KVR1333D3N9HK2/8G 8 GB,49.99,31333,24,6.249,Green,13.503,9.0
Corsair Dominator Titanium 48 GB,279.99,57600,224,5.833,Black,9.474,36.0
Corsair Vengeance RGB 64 GB,279.99,56000,416,4.375,Black,12.0,36.0
TEAMGROUP Elite 16 GB,39.99,54800,116,2.499,Black,16.667,40.0
Corsair Vengeance LPX 16 GB,54.99,43600,28,3.437,Black / Yellow,8.889,16.0
G.Skill Trident Z Royal 128 GB,2265.13,43200,432,17.696,Gold,10.0,16.0
Corsair Vengeance LPX 32 GB,92.99,43600,48,2.906,Black / Yellow,10.0,18.0
Corsair Vengeance 96 GB,269.99,55200,248,2.812,Black,14.615,38.0
TEAMGROUP T-Create Expert 32 GB,119.99,57200,216,3.75,Black,9.444,34.0
G.Skill Trident Z RGB 256 GB,886.87,43600,832,3.464,Unknown,8.889,16.0
Kingston FURY Beast 32 GB,84.99,43600,216,2.656,Black,10.0,18.0
G.Skill Trident Z Neo 16 GB,66.98,43600,28,4.186,Black / Silver,8.889,16.0
Lexar THOR 32 GB,76.03,43200,216,2.376,Black,10.0,16.0
OLOy MD4U0836180BHKDA 16 GB,34.97,43600,28,2.186,Black,10.0,18.0
Corsair Dominator Titanium 48 GB,249.99,57200,224,5.208,White,10.0,36.0
Crucial CT16G4DFRA32A 16 GB,33.99,43200,116,2.124,Green,13.75,22.0
Corsair Dominator Titanium 64 GB,359.99,56400,416,5.625,Black,10.0,32.0
TEAMGROUP Elite 16 GB,29.99,43200,116,1.874,Black,13.75,22.0
Crucial CT2K16G48C40U5 32 GB,87.66,54800,216,2.739,Black,16.667,40.0
Corsair Dominator Titanium 64 GB,289.99,56000,232,4.531,Black,10.0,30.0
G.Skill Trident Z RGB 96 GB,339.99,56400,248,3.542,Black,10.0,32.0
TEAMGROUP T-Create Expert 32 GB,94.99,56000,216,2.968,White,12.667,38.0
Corsair Vengeance RGB 32 GB,127.99,56000,216,4.0,Black,12.0,36.0
OLOy OWL RGB 16 GB,42.99,43200,28,2.687,White,10.0,16.0
G.Skill Trident Z5 RGB 64 GB,214.99,56000,232,3.359,Black,10.0,30.0
Kingston FURY Beast 16 GB,44.85,43200,116,2.803,Black,10.0,16.0
Corsair Vengeance LPX 16 GB,41.99,42400,28,2.624,Black / Yellow,13.333,16.0
Corsair Vengeance RGB Pro 16 GB,63.99,43600,28,3.999,White,10.0,18.0
Patriot Signature Premium 16 GB,24.99,42666,116,1.562,Black,14.254,19.0
Kingston FURY 32 GB,146.3,56000,216,4.572,White,13.333,40.0
TEAMGROUP T-Force Vulcan Z 64 GB,114.99,43200,232,1.797,Gray,10.0,16.0
Mushkin Redline ST 64 GB,209.99,56400,232,3.281,Black,9.375,30.0
Corsair Vengeance RGB 32 GB,129.99,56400,216,4.062,White / Black,11.25,36.0
G.Skill Trident Z RGB 32 GB,109.99,43200,48,3.437,Black,10.0,16.0
Corsair Vengeance RGB RS 16 GB,59.99,43200,28,3.749,Black / Gray,10.0,16.0
Kingston FURY Beast 16 GB,58.99,55200,116,3.687,Black / Silver,15.385,40.0
TEAMGROUP T-Force Vulcan 32 GB,96.99,55600,216,3.031,Red,11.429,32.0
TEAMGROUP T-Force Delta RGB 32 GB,67.98,43200,216,2.124,Black,10.0,16.0
Lexar Ares RGB 32 GB,165.99,56400,216,5.187,White,10.0,32.0
Samsung M378B5173DB0-CK0 4 GB,12.83,31600,14,3.208,Green,13.75,11.0
OLOy MD4U1636181CHKDA 32 GB,71.99,43600,216,2.25,Black,10.0,18.0
Kingston FURY Beast RGB 128 GB,447.15,55200,432,3.493,Black,15.385,40.0
Corsair Vengeance 64 GB,229.99,56000,232,3.594,Black / Gray,10.0,30.0
TEAMGROUP Elite 64 GB,108.99,43200,232,1.703,Black,13.75,22.0
G.Skill Trident Z5 RGB 32 GB,116.99,55600,216,3.656,Black,10.0,28.0
G.Skill Trident Z5 RGB 32 GB,112.99,56000,216,3.531,Black,10.0,30.0
G.Skill Ripjaws S5 32 GB,107.99,56000,216,3.375,Black,10.667,32.0
G.Skill Ripjaws S5 32 GB,104.99,56000,216,3.281,Black,10.0,30.0
Corsair Vengeance 96 GB,279.99,55600,248,2.917,Black,14.286,40.0
TEAMGROUP T-Force Vulcan Z 16 GB,34.99,43200,28,2.187,Red,10.0,16.0
Corsair Vengeance RGB RT 32 GB,139.99,44600,216,4.375,Black,7.826,18.0
