name,price,type,interface,capacity,price_per_gb,color
Kingston XS2000,109.99,Portable,USB Type-C 3.2 Gen 2x2,1000,0.11,Silver
Crucial X10 Pro,174.99,Portable,USB Type-C 3.2 Gen 2x2,2000,0.087,Black
Samsung T9 Portable,134.99,Portable,USB Type-C 3.2 Gen 2x2,1000,0.135,Black
Western Digital My Book Duo,419.99,Desktop,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",4000,0.105,Black
Silicon Power PC60,60.45,Portable,USB Type-C 3.2 Gen 2,240,0.252,Black
Western Digital My Book,194.97,Desktop,USB Type-A 3.2 Gen 1,3000,0.065,Unknown
Western Digital My Passport,149.0,Portable,USB Type-A 3.2 Gen 1,4000,0.037,Black
Buslink DL-4TSDU31G2,450.0,Portable,USB Type-A 3.2 Gen 2,4000,0.113,Black
Western Digital ELEMENTS,0.0,Desktop,USB Type-A 3.2 Gen 1,5000,0.0,Unknown
Toshiba Canvio Desk,129.99,Desktop,USB Type-A 3.2 Gen 1,3000,0.043,Unknown
Western Digital easystore,0.0,Desktop,USB Type-A 3.2 Gen 2,10000,0.0,Black
Seagate Expansion,0.0,Desktop,USB Type-A 3.2 Gen 1,10000,0.0,Black
Apricorn Padlock DT FIPS,1025.9,Desktop,USB Type-A 3.2 Gen 1,20000,0.051,Black
Asus FX HDD,0.0,Portable,USB Type-A 3.2 Gen 2,2000,0.0,Black
Samsung T7 Portable,118.0,Portable,USB Type-C 3.2 Gen 1,500,0.236,Black / Silver
Crucial X8,100.11,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 2",1000,0.1,Black
Seagate Barracuda Fast,0.0,Portable,USB Type-C,2000,0.0,Black
Seagate Expansion,0.0,Portable,USB Type-C 3.2 Gen 1,2000,0.0,Black
Sabrent Rocket XTRM-Q,355.0,Portable,USB Type-C 3.2 Gen 2,1000,0.355,Black
Sabrent Rocket XTRM-Q,0.0,Portable,USB Type-C 3.2 Gen 2,8000,0.0,Black
Silicon Power Bolt B75 Pro,0.0,Portable,USB Type-C 3.2 Gen 2,2000,0.0,Black
Corsair EX100U,159.99,Portable,USB Type-C 3.2 Gen 2x2,2000,0.08,Black
Buffalo Technology DriveStation Axis Velocity,79.98,Desktop,USB Type-A 3.2 Gen 1,2000,0.04,Unknown
Samsung T7 Portable,0.0,Portable,USB Type-C 3.2 Gen 2,1000,0.0,Black
Crucial X9 Pro,94.99,Portable,USB Type-C 3.2 Gen 2,1000,0.095,Silver
Western Digital My Book Duo,529.99,Desktop,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",16000,0.033,Black
Seagate One Touch,110.0,Portable,USB Type-A 3.2 Gen 1,2000,0.055,Silver
Seagate STEB6000403,249.95,Desktop,USB Type-A 3.2 Gen 1,6000,0.042,Black
Western Digital ELEMENTS,149.99,Desktop,USB Type-A 3.2 Gen 1,6000,0.025,Black
Western Digital WDBGPU0010BBK-NESN,81.9,Portable,Unknown,1000,0.082,Unknown
Samsung T7 Portable,94.99,Portable,USB Type-C 3.2 Gen 1,500,0.19,Blue / Silver
Samsung T7 Portable,199.99,Portable,USB Type-C 3.2 Gen 1,2000,0.1,Red / Silver
Lexar SL660 BLAZE,109.99,Portable,USB Type-C 3.2 Gen 2x2,1000,0.11,Black
Buffalo Technology DriveStation Combo 4,0.0,Desktop,"IEEE 1394A 6-Pin, IEEE 1394B 9-Pin, eSATA 3.0 Gb/s, USB Type-A 2.0",2000,0.0,Unknown
Western Digital My Book,179.0,Desktop,USB Type-A 3.2 Gen 1,2000,0.089,Unknown
LaCie d2 Quadra,0.0,Desktop,"IEEE 1394B 9-Pin, eSATA 3.0 Gb/s, USB Type-A 3.2 Gen 1",5000,0.0,Unknown
Toshiba Canvio Desk,0.0,Desktop,USB Type-A 3.2 Gen 1,5000,0.0,Unknown
Seagate Expansion,0.0,Desktop,USB Type-A 3.2 Gen 1,2000,0.0,Unknown
Apricorn ASSD-3PL256-120F,0.0,Desktop,USB Type-A 2.0,120,0.0,Unknown
Seagate Expansion,199.99,Desktop,USB Type-A 3.2 Gen 1,8000,0.025,Unknown
Western Digital easystore,0.0,Desktop,USB Type-A 3.2 Gen 1,4000,0.0,Black
Seagate Expansion,549.99,Desktop,USB Type-A 3.2 Gen 1,16000,0.034,Black
Seagate Expansion,0.0,Desktop,USB Type-A 3.2 Gen 1,14000,0.0,Black
Apricorn Padlock DT FIPS,783.99,Desktop,USB Type-A 3.2 Gen 1,12000,0.065,Black
Western Digital My Passport Studio,0.0,Portable,"IEEE 1394B 9-Pin, USB Type-A 2.0",1000,0.0,Unknown
Western Digital ELEMENTS,0.0,Portable,USB Type-A 3.2 Gen 1,1500,0.0,Unknown
Toshiba Canvio Connect,0.0,Portable,USB Type-A 3.2 Gen 1,750,0.0,Unknown
Lenovo ThinkPad,395.0,Portable,USB Type-A 3.2 Gen 1,1000,0.395,Unknown
Samsung T7 Portable,119.99,Portable,USB Type-C 3.2 Gen 1,1000,0.12,Red / Silver
Seagate Backup Plus Portable,0.0,Portable,USB Type-A 3.2 Gen 1,5000,0.0,Black
Western Digital My Passport,69.98,Portable,USB Type-A 3.2 Gen 1,1000,0.07,Blue
Western Digital My Passport,67.99,Portable,USB Type-A 3.2 Gen 1,1000,0.068,White
Western Digital My Passport,124.99,Portable,USB Type-A 3.2 Gen 1,4000,0.031,Red
Samsung T7 Shield,189.99,Portable,USB Type-C 3.2 Gen 2,2000,0.095,Blue
Seagate One Touch,189.99,Portable,"USB Type-A 3.2 Gen 2, USB Type-C 3.2 Gen 2",2000,0.095,Black
Seagate One Touch,69.99,Portable,"USB Type-A 3.2 Gen 2, USB Type-C 3.2 Gen 2",500,0.14,Black
Toshiba Canvio Connect II,120.5,Portable,USB Type-A 3.2 Gen 1,1000,0.121,Black
Seagate Expansion,192.73,Portable,USB Type-C 3.2 Gen 1,1000,0.193,Black
Apricorn Aegis Padlock 3.0,4949.0,Portable,USB Type-A 3.2 Gen 1,16000,0.309,Black
Lexar SL200,109.99,Portable,USB Type-C 3.2 Gen 1,2000,0.055,Black
Lexar SL200,67.99,Portable,USB Type-C 3.2 Gen 1,1000,0.068,Black
LaCie Rugged,109.0,Portable,"Thunderbolt, USB Type-A 3.2 Gen 1",256,0.426,Unknown
Kingston XS2000,179.99,Portable,USB Type-C 3.2 Gen 2x2,2000,0.09,Silver
Sabrent Rocket Nano Rugged,99.99,Portable,USB Type-C 3.2 Gen 2,1000,0.1,Silver
SanDisk Extreme 900,89.99,Portable,USB Type-A 3.2 Gen 2,960,0.094,Unknown
Transcend StoreJet,90.45,Portable,USB Type-A 3.2 Gen 1,2000,0.045,Unknown
Western Digital My Passport,79.99,Portable,USB Type-A 3.2 Gen 1,2000,0.04,White
Lexar SL200,61.41,Portable,USB Type-C 3.2 Gen 1,512,0.12,Black
Samsung T7 Shield,109.99,Portable,USB Type-C 3.2 Gen 2,1000,0.11,Beige
Verbatim Vx460,0.0,Portable,USB Type-A 3.2 Gen 1,256,0.0,Black
Sabrent Rocket Pro,0.0,Portable,USB Type-C 3.2 Gen 2,256,0.0,Silver
Lexar Professional SL600,104.99,Portable,USB Type-C 3.2 Gen 2x2,1000,0.105,Black
ADATA DashDrive Durable HD650,68.09,Portable,USB Type-A 3.2 Gen 1,1000,0.068,Unknown
Transcend StoreJet,59.99,Portable,USB Type-A 3.2 Gen 1,1000,0.06,Unknown
KIOXIA EXCERIA PLUS,228.95,Portable,USB Type-C 3.2 Gen 2,2000,0.114,Gray
Sabrent Rocket Nano V2,119.99,Portable,USB Type-C 3.2 Gen 2x2,1000,0.12,Black
Apricorn Aegis Fortress L3,2799.0,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",8000,0.35,Black
Buffalo Technology DriveStation Axis Velocity,0.0,Desktop,USB Type-A 3.2 Gen 1,3000,0.0,Unknown
LaCie d2 Quadra,0.0,Desktop,"IEEE 1394B 9-Pin, eSATA 3.0 Gb/s, USB Type-A 3.2 Gen 1",2000,0.0,Unknown
Western Digital My Book Essential,0.0,Desktop,USB Type-A 3.2 Gen 1,1000,0.0,Unknown
LaCie 4big Quadra,0.0,Desktop,"IEEE 1394B 9-Pin, USB Type-A 3.2 Gen 1",12000,0.0,Unknown
LaCie d2,0.0,Desktop,"Thunderbolt, USB Type-A 3.2 Gen 1",5000,0.0,Unknown
Samsung D3 Station,0.0,Desktop,USB Type-A 3.2 Gen 1,2000,0.0,Unknown
Seagate FreeAgent GoFlex Desk,0.0,Desktop,USB Type-A 2.0,1000,0.0,Unknown
Seagate Backup Plus,245.0,Desktop,USB Type-A 3.2 Gen 1,2000,0.122,Unknown
Seagate Backup Plus,278.49,Desktop,USB Type-A 3.2 Gen 1,4000,0.07,Unknown
Seagate Backup Plus,0.0,Desktop,USB Type-A 3.2 Gen 1,8000,0.0,Unknown
G-Technology G-DRIVE,0.0,Desktop,"IEEE 1394B 9-Pin, eSATA 6.0 Gb/s, USB Type-A 3.2 Gen 1",2000,0.0,Unknown
G-Technology G-DRIVE,0.0,Desktop,"IEEE 1394B 9-Pin, eSATA 6.0 Gb/s, USB Type-A 3.2 Gen 1",4000,0.0,Unknown
