name,price,capacity,price_per_gb,type,cache,form_factor,interface
TEAMGROUP T-Force Cardea Z540,142.99,1000.0,0.143,SSD,0.0,M.2-2280,M.2 PCIe 5.0 X4
Solidigm P41 Plus,47.89,500.0,0.096,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Seagate EXOS Enterprise,329.99,16000.0,0.021,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Red Plus,169.99,8000.0,0.021,5640,128.0,3.5,SATA 6.0 Gb/s
FanXiang S880,129.99,2000.0,0.065,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue SN570,39.99,250.0,0.16,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Western Digital SE,42.98,2000.0,0.021,7200,64.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,224.99,14000.0,0.016,7200,256.0,3.5,SATA 6.0 Gb/s
MSI SPATIUM M460,72.99,1000.0,0.073,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
PNY CS3140,0.0,8000.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital AV-GP,39.99,2000.0,0.02,5400,64.0,3.5,SATA 6.0 Gb/s
Samsung 860 QVO,123.91,1000.0,0.124,SSD,0.0,2.5,SATA 6.0 Gb/s
Western Digital Red Plus,84.99,3000.0,0.028,5400,256.0,3.5,SATA 6.0 Gb/s
Crucial T500 W/Heatsink,89.99,1000.0,0.09,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Seagate Barracuda Compute,64.98,2000.0,0.032,7200,256.0,3.5,SATA 6.0 Gb/s
Silicon Power A55,59.99,1000.0,0.06,SSD,0.0,M.2-2280,M.2 SATA
ADATA Legend 710,0.0,512.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Seagate IronWolf Pro,288.12,16000.0,0.018,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,228.45,12000.0,0.019,7200,256.0,3.5,SATA 6.0 Gb/s
KIOXIA EXCERIA G2,0.0,2000.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Mushkin Helix-L,106.99,2000.0,0.053,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Sabrent Rocket Q,0.0,2000.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Western Digital VelociRaptor,50.99,1000.0,0.051,10000,64.0,2.5,SATA 6.0 Gb/s
Western Digital WD_BLACK,194.99,6000.0,0.032,7200,256.0,3.5,SATA 6.0 Gb/s
