name,price,rpm,noise_level,color,size
Deepcool LS720S ZERO DARK,99.99,5002250.0,"28.2,32.9",Black,360.0
Asus TUF Gaming LC II ARGB,109.99,8002000.0,29,Black,360.0
ARCTIC Liquid Freezer III A-RGB,116.99,2002000.0,Unknown,White,240.0
Thermalright Aqua Elite V3,44.99,1500.0,25.6,White,240.0
Thermalright AXP90-X47,22.9,2700.0,22.4,White,0.0
StarTech FAN775E,14.77,2600.0,22.2,Unknown,0.0
Thermalright AXP90-X47,20.9,2700.0,22.4,Gray,0.0
Thermalright Assassin Spirit 120 EVO DARK,20.59,1850.0,27,Black,0.0
Thermalright Peerless Assassin 120 White,44.9,1550.0,25.6,White,0.0
Cooler Master MasterLiquid 240L Core ARGB,79.99,3501750.0,27.2,White,240.0
Noctua NH-U9S,59.95,4002000.0,"16.3,22.8",Unknown,0.0
Thermalright Assassin X 90 SE ARGB,17.89,2200.0,23.85,Black / Silver,0.0
EK Nucleus AIO CR240 Dark,120.87,5502300.0,36,Black,240.0
Thermalright Frozen Magic Scenic V2,0.0,2150.0,28.1,White,360.0
Deepcool ASSASSIN IV,84.99,5001700.0,"22.6,29.3",White,0.0
NZXT Kraken Z63,229.99,5001800.0,"21,38",Black,280.0
Deepcool LE520,91.11,5002250.0,32.9,Black,240.0
Noctua NH-L9x65,59.95,6002500.0,"14.8,23.6",Unknown,0.0
Deepcool Assassin 4S,79.99,5001800.0,29.3,Black,0.0
ID-COOLING SE-903-XT,14.99,5002200.0,25.8,Black,0.0
Thermalright Frozen Prism,56.9,1850.0,27,Black,360.0
Corsair H150,0.0,1500.0,"18,26.5",Black,360.0
be quiet! Pure Rock 2,34.9,1500.0,"19.1,26.8",Silver / Black,0.0
NZXT Kraken Elite 280 RGB,189.99,5001500.0,34.48,Black,280.0
Deepcool LT520 WH,79.89,5002250.0,32.9,White,240.0
Cooler Master Hyper 212 Halo,28.99,6502050.0,27,White,0.0
ARCTIC Freezer 34 eSports DUO,48.3,2002100.0,24.4,White / Black,0.0
Noctua NH-L9a-AM4 chromax.black,54.95,6002500.0,"14.8,23.6",Black,0.0
ARCTIC Freezer 36 A-RGB,38.99,2002000.0,Unknown,Black,0.0
Lian Li Galahad II Trinity,149.99,2450.0,35.4,Black,360.0
ID-COOLING IS-47-XT,29.99,8002800.0,32.5,Black,0.0
Cooler Master MasterLiquid ML360L ARGB V2,99.99,6501800.0,"8,27",Black,360.0
ID-COOLING FROZN A620 BLACK,44.99,5002000.0,29.85,Black,0.0
ARCTIC Liquid Freezer II 360 A-RGB,204.9,2001800.0,22.5,Black / Gray,360.0
NZXT Kraken Elite 240 RGB,225.99,5001800.0,"17.9,30.6",Black,240.0
ARCTIC Freezer 36,32.99,2001800.0,Unknown,Black / Silver,0.0
MSI MAG CORELIQUID P240,75.0,5002000.0,"14.3,34.3",Black,240.0
Corsair iCUE LINK H170i LCD,244.99,4002000.0,Unknown,Black,420.0
Corsair H100,0.0,1500.0,"18,26.5",Black,240.0
Thermaltake Water 3.0 Ultimate,0.0,10002000.0,20,Unknown,360.0
ID-COOLING FROSTFLOW X,59.99,8001600.0,"16.8,32.6",Black / Silver,280.0
Noctua NH-D12L,89.95,4502000.0,"18.8,22.6",Beige / Brown,0.0
be quiet! Dark Rock Elite,99.9,15002000.0,"11,25.8",Black,0.0
ARCTIC Liquid Freezer III A-RGB,127.99,2001900.0,Unknown,Black,280.0
Thermalright Frozen Prism ARGB,47.9,1850.0,27,White,240.0
Thermalright Assassin X Refined SE,18.89,1550.0,25.6,White / Silver,0.0
ARCTIC Freezer 7 X,22.99,3002000.0,22.5,Black / White,0.0
EK Nucleus AIO CR360 Dark,237.77,5502300.0,36,Black,360.0
