name,price,socket,form_factor,max_memory,memory_slots,color
Asus PRIME B550-PLUS AC-HES,109.99,AM4,ATX,128,4,Silver / Black
MSI PRO Z790-A WIFI,219.99,LGA1700,ATX,192,4,Black / Silver
Asus PRIME H510M-A WIFI,109.99,LGA1200,Micro ATX,64,2,Black / Silver
ASRock B760M PG SONIC WiFi,189.99,LGA1700,Micro ATX,192,4,Blue / Silver
Asus TUF GAMING A620M-PLUS WIFI,148.99,AM5,Micro ATX,192,4,Black / Orange
ASRock B650 PRO RS,244.21,AM5,ATX,192,4,Black / Silver
Gigabyte H610M S2H V2 DDR4,89.99,LGA1700,Micro ATX,64,2,Black / Gray
Gigabyte B650I AX,0.0,AM5,Mini ITX,96,2,Black
Asus ROG STRIX Z790-I GAMING WIFI,439.99,LGA1700,Mini ITX,96,2,Black
MSI MAG B760 TOMAHAWK WIFI DDR4,179.99,LGA1700,ATX,128,4,Black
ASRock Fatal1ty B450 Gaming-ITX/ac,146.86,AM4,Mini ITX,64,2,Black / Silver
Asus ROG STRIX Z790-F GAMING WIFI,269.99,LGA1700,ATX,192,4,Black
ASRock Z790 Lightning WiFi,159.99,LGA1700,ATX,192,4,Silver / Black
Gigabyte X670E AORUS XTREME (rev. 1.0),649.99,AM5,EATX,192,4,Black
ASRock B550M Steel Legend,115.98,AM4,Micro ATX,128,4,Silver / Black
Asus PRIME Z790-V WIFI,219.99,LGA1700,ATX,192,4,Black / Silver
NZXT N7 B550,0.0,AM4,ATX,128,4,White / Black
Asus ROG STRIX B450-F GAMING,0.0,AM4,ATX,128,4,Black
Gigabyte Z790M AORUS ELITE AX ICE,204.99,LGA1700,Micro ATX,192,4,White / Silver
MSI B450M-A PRO MAX,92.21,AM4,Micro ATX,32,2,Black
Gigabyte Z790 UD AC,189.99,LGA1700,ATX,192,4,Black
Asus ROG MAXIMUS Z790 APEX ENCORE,869.47,LGA1700,ATX,96,2,Black
ASRock B450M Pro4,0.0,AM4,Micro ATX,128,4,Black / Silver
ASRock B650 PG LIGHTNING,149.99,AM5,ATX,192,4,Black
ASRock X670E Taichi,409.99,AM5,EATX,192,4,Black
Gigabyte B760 AORUS ELITE AX,169.99,LGA1700,ATX,192,4,Black
Gigabyte B450M DS3H,124.94,AM4,Micro ATX,128,4,Black / Silver
Gigabyte B550M AORUS ELITE,132.27,AM4,Micro ATX,128,4,Black / Orange
