name,price,configuration,wattage,frequency_response,color
Genius SP-U115,0.0,2.0,0.0,20018.0,Unknown
V7 SP2000-USB-1NC,0.0,2.0,1.0,0.0,Unknown
Cyber Acoustics CA-2027,0.0,2.0,5.0,0.0,Unknown
Altec Lansing BX1521,0.0,2.1,0.0,0.0,Unknown
Logitech Z337 w/BlueTooth,0.0,2.1,40.0,0.0,Unknown
Swan Speakers M200MkIII,0.0,2.0,120.0,5320.0,Brown / Black
Kanto YU2MG,0.0,2.0,50.0,8020.0,Silver / Black
Edifier S1000DB,0.0,2.0,120.0,4820.0,Brown / Black
Yamaha Yamaha NX-50 2.0 Speaker System - 14 W RMS - Black,0.0,2.0,14.0,5520.0,Black
SteelSeries Arena 9 JP,0.0,5.1,0.0,3520.0,Black
Logitech Z553,361.88,2.1,40.0,5517.0,Unknown
M-Audio BX8 D3,0.0,1.0,150.0,3722.0,Black
SteelSeries Arena 3 AU,115.21,2.0,0.0,5020.0,Black
Creative Labs T12,0.0,2.0,18.0,2020.0,Unknown
Cyber Acoustics CA3550RB,0.0,2.1,68.0,2220.0,Unknown
Genius SP-HF800A,0.0,2.0,20.0,8020.0,Unknown
Creative Labs A220,0.0,2.1,9.0,4020.0,Unknown
Cyber Acoustics CA3001WB,0.0,2.1,14.0,3818.0,Unknown
Gigabyte GP-S2000,0.0,2.0,4.0,10020.0,Unknown
Syba CL-SPK20097,0.0,2.0,6.0,15020.0,Unknown
Gear Head SP2000USLV,0.0,2.0,3.0,20020.0,Unknown
Gear Head SP2000URED,0.0,2.0,3.0,20020.0,Unknown
Gear Head SP2000UBLU,0.0,2.0,3.0,20020.0,Unknown
Syba CL-SPK20115,0.0,2.0,6.0,15020.0,Unknown
Creative Labs Inspire S2,0.0,2.1,33.0,4020.0,Unknown
Cyber Acoustics CA-2011WB,0.0,2.0,4.0,22020.0,Unknown
Cyber Acoustics CA-2012RB,0.0,2.0,1.5,8518.0,Unknown
Cyber Acoustics CA-2014WB,0.0,2.0,1.5,8518.0,Unknown
Cyber Acoustics CA-2100WB,0.0,2.0,5.8,3518.0,Unknown
Logitech LS11,0.0,2.0,3.0,7020.0,Unknown
M-Audio Studiophile AV20,0.0,2.0,10.0,12020.0,Unknown
M-Audio Studiophile AV30,0.0,2.0,20.0,9020.0,Unknown
