name,price,style,switches,backlit,tenkeyless,connection_type,color
Logitech K845,53.99,Standard,TTC Red,White,FALSE,Wired,Black
Redragon K552-R KUMARA,0,Gaming,Outemu Blue,RGB,TRUE,Wired,Black
Logitech G715,179.99,Gaming,GX Red,RGB,TRUE,"Wired, Wireless, Bluetooth Wireless",White
Corsair K70 CORE w/Palmrest,104.65,Gaming,Corsair MLX Red Linear,RGB,FALSE,Wired,Black
Logitech G413 SE,0,Gaming,Kailh LT Brown,White,FALSE,Wired,Black
Logitech G610,119.99,Gaming,Cherry MX Red,White,FALSE,Wired,Black
Redragon K551-RGB VARA,56.35,Standard,Outemu Blue,RGB,FALSE,Wired,Black
Corsair K70 RGB PRO,129.99,Gaming,Cherry MX Brown,RGB,FALSE,Wired,Black
MSI VIGOR,23.99,Gaming,Unknown,RGB,FALSE,Wired,Black / Gray
SteelSeries Apex 9 Mini,123.99,Gaming,SteelSeries OptiPoint Linear,RGB,TRUE,Wired,Black
Ducky Ducky One 2 SF RGB,0,Gaming,Cherry MX Black,RGB,TRUE,Wired,Black
Corsair STRAFE RGB MK.2,183,Gaming,Cherry MX Red,RGB,FALSE,Wired,Unknown
Cooler Master SK620,24.99,Gaming,TTC Blue,RGB,TRUE,Wired,Silver / White
Logitech PRO X,192.12,Gaming,Logitech GX Red Linear,RGB,TRUE,Unknown,Black
Razer Huntsman V2,129.99,Gaming,Razer Red Optical Linear,RGB,FALSE,Wired,Black
Asus ROG Azoth,249.99,Mini,ROG NX Blue,RGB,TRUE,"Wired, Wireless, Bluetooth Wireless",Black
Razer DeathStalker V2 Pro,219.78,Gaming,Razer Red Low-Profile Optical Linear,RGB,TRUE,Wireless,Black
Razer Huntsman Elite,179.98,Gaming,Razer Red Optical Linear,RGB,FALSE,Wired,Black
Keychron C2,65.98,Standard,Gateron G Pro Brown,White,FALSE,Wired,Black / White
Razer Ornata V3,63.99,Gaming,Unknown,RGB,FALSE,Wired,Black
Logitech G715,134.99,Gaming,GX Blue,RGB,TRUE,"Wired, Wireless, Bluetooth Wireless",White
Razer Huntsman Mini Analog,113.99,Mini,Razer Analog Optical,RGB,TRUE,Wired,Black
RK Royal Kludge RK61,49.99,Mini,RK Blue,White,TRUE,"Wired, Wireless, Bluetooth Wireless",Black
Logitech MX 5500 Revolution,756.87,Standard,Unknown,Unknown,FALSE,Wireless,Black
Razer DeathStalker V2 Pro,249.99,Gaming,Razer Red Low-Profile Optical Linear,RGB,FALSE,Wireless,Black
Asus ROG Azoth,249.99,Mini,ROG NX Brown,RGB,TRUE,"Wired, Wireless, Bluetooth Wireless",Black
Verbatim 70734,13.99,Standard,Unknown,Unknown,FALSE,Wired,Black
Corsair K55 RGB,89,Gaming,Unknown,RGB,FALSE,Wired,Black
Das Keyboard Model S Professional,129,Standard,Cherry MX Brown,Unknown,FALSE,Wired,Black
Corsair K100 RGB,219.99,Gaming,Cherry MX Speed Silver,RGB,FALSE,Wired,Black
GMMK Glorious Modular Mechanical Gaming Keyboard,0,Gaming,Gateron Brown,RGB,TRUE,Wired,Black
Corsair K95 RGB PLATINUM XT,0,Gaming,Cherry MX Speed Silver,RGB,FALSE,Wired,Black
Corsair K70 PRO MINI,107.99,Mini,Cherry MX Speed Silver,RGB,TRUE,"Wired, Wireless, Bluetooth Wireless",White
Razer Huntsman Elite,0,Gaming,Razer Purple,RGB,FALSE,Wired,Black
SteelSeries Apex 9 TKL,95.95,Gaming,SteelSeries OptiPoint Linear,RGB,TRUE,Wired,Black
Thermaltake POSEIDON Z,75.04,Gaming,Kailh Blue,Blue,FALSE,Wired,Black
Asus ROG Strix Scope RX EVA-02 Edition,259.99,Gaming,ROG RX Red Optical,RGB,FALSE,Wired,Red / Black
Corsair K100 RGB,249.99,Gaming,Corsair OPX,RGB,FALSE,Wired,Gold / Black
Razer Huntsman V2,149.99,Gaming,Razer Purple Optical Clicky,RGB,FALSE,Wired,Black
Logitech G513 Carbon,128.49,Gaming,GX Red,RGB,FALSE,Wired,Black
Corsair K60 RGB Pro SE,100.9,Gaming,Cherry Viola,RGB,FALSE,Wired,Black
Corsair K70 PRO MINI,129.99,Mini,Cherry MX Speed Silver,RGB,TRUE,"Wired, Wireless, Bluetooth Wireless",Black
Corsair K70 MAX RGB US,229.99,Gaming,Corsair MGX Steel Grey,RGB,FALSE,Wired,Black
