name,price,tracking_method,connection_type,max_dpi,hand_orientation,color
SteelSeries Aerox 5,62.99,Optical,Wired,18000.0,Right,Black
Razer Viper Mini Signature Edition,0.0,Optical,"Wired, Wireless",30000.0,Right,Black
Corsair IRONCLAW RGB WIRELESS,69.99,Optical,Wireless,18000.0,Right,Black
Glorious MODEL D,67.48,Optical,Wired,12000.0,Right,Black
Asus ROG Keris AimPoint,85.99,Optical,"Wired, Wireless, Bluetooth Wireless",36000.0,Right,White
Glorious Model I 2,99.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000.0,Right,Black
Logitech T650,399.99,Touchpad,Wireless,0.0,Both,Silver
Asus ROG Gladius III Wireless AimPoint EVA-02 Edition,159.85,Optical,"Wired, Wireless, Bluetooth Wireless",36000.0,Right,Red / Black
MSI Clutch GM11,30.78,Optical,Wired,5000.0,Right,Black
Asus TUF Gaming M3 Gen II,19.98,Optical,Wired,8000.0,Right,Black / Yellow
Logitech G602,0.0,Optical,Wireless,2500.0,Right,Black / Silver
Corsair DARKSTAR,169.99,Optical,"Wireless, Bluetooth Wireless",26000.0,Right,Black
Corsair M75,99.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000.0,Both,Black
Logitech MX Vertical,89.99,Optical,Wireless,4000.0,Right,Gray / Silver
Logitech G303 Daedalus Apex,349.92,Optical,Wired,12000.0,Right,Black / Orange
Razer Orochi V2,49.0,Optical,Wireless,18000.0,Right,Black
Logitech G305 LIGHTSPEED,44.99,Optical,"Wired, Wireless",12000.0,Right,Purple
Razer DeathAdder V3 Pro Faker Edition,169.99,Optical,"Wired, Wireless",30000.0,Right,Red / Black
SteelSeries Prime+,22.95,Optical,Wired,18000.0,Right,Black
Logitech M317,14.99,Optical,"Wired, Wireless",1000.0,Both,Black
Logitech G502 Hero K/DA,99.99,Optical,Wired,25600.0,Right,White / Blue
Corsair KATAR PRO,34.98,Optical,Wireless,10000.0,Right,Black
Corsair M65 RGB ULTRA,59.99,Optical,Wired,26000.0,Right,Black / Silver
Asus ROG Gladius III,59.99,Optical,Wired,26000.0,Right,Black
Corsair KATAR PRO XT,34.99,Optical,Wired,12400.0,Right,Black
HP HyperX Pulsefire Haste 2,49.99,Optical,Wired,26000.0,Right,Black
Razer Viper Ultimate,129.99,Optical,Wireless,20000.0,Both,Black
ROCCAT KONE Pro Air,131.99,Optical,Wireless,19000.0,Right,White
Corsair DARK CORE RGB PRO,79.98,Optical,Wireless,18000.0,Right,Black
Asus TUF Gaming M4 Air,39.99,Optical,Wired,16000.0,Right,Black
Logitech M720 Triathlon,33.99,Optical,Bluetooth Wireless,1000.0,Right,Black
Logitech G305 LIGHTSPEED,42.0,Optical,"Wired, Wireless",12000.0,Right,Teal / Purple
HP HyperX Pulsefire Haste 2,79.98,Optical,"Wired, Wireless, Bluetooth Wireless",26000.0,Right,Black
Logitech G604 LIGHTSPEED,139.66,Optical,Wireless,25600.0,Right,Black
Glorious Model I,72.47,Optical,Wired,19000.0,Right,Black / Red
V7 Full size USB Optical Mouse,5.89,Optical,Wired,1000.0,Both,Silver / Black
Razer Viper Ultimate,87.99,Optical,Wireless,20000.0,Both,White / Gray
