name,price,type,efficiency,wattage,modular,color
EVGA SuperNOVA 1000 P3,189.99,ATX,platinum,1000,Full,Black / Silver
Corsair VS350,0.0,ATX,plus,350,false,Black
SeaSonic FOCUS,101.99,ATX,gold,850,Semi,Black
Azza PSAZ-650W,60.65,ATX,bronze,650,false,Black
SeaSonic G12 GC,0.0,ATX,gold,750,false,Black / Blue
EVGA SuperNOVA 850 G3,0.0,ATX,gold,850,Full,Unknown
Corsair HX850 Platinum,0.0,ATX,platinum,850,Full,Unknown
Cooler Master MWE Bronze V2,0.0,ATX,bronze,600,false,Black
Cooler Master MWE Bronze V2,0.0,ATX,bronze,550,false,Black
Thermaltake Toughpower,0.0,ATX,gold,650,Semi,Unknown
Corsair SF600,214.99,SFX,gold,600,Full,Unknown
Corsair RM850x SHIFT,169.99,ATX,gold,850,Full / Side,White
Thermaltake Toughpower GF1 (2024),94.17,ATX,gold,750,Full,Black
Deepcool PK550D,0.0,ATX,bronze,550,false,Black
Apevia Galaxy,79.98,ATX,gold,1000,Semi,Black
Corsair CX550M,178.0,ATX,bronze,550,Semi,Unknown
Silverstone SX1000-LPT,230.8,SFX,platinum,1000,Full,Black
Silverstone FX600 Platinum,179.52,Flex ATX,Unknown,600,false,Black
EVGA SuperNOVA 1200 P3,209.99,ATX,platinum,1200,Full,Black / Silver
Cooler Master MWE Bronze V2,0.0,ATX,bronze,750,false,Black
Asus ROG LOKI,0.0,SFX,titanium,1200,Full,Black / White
be quiet! System Power 9 500 CM,0.0,ATX,bronze,500,Semi,Black
Asus ROG Strix Aura Edition,234.99,ATX,gold,1200,Full,Black
Thermaltake Smart RGB 230V,149.0,ATX,plus,500,false,Black
EVGA GE,0.0,ATX,gold,800,false,Black
MSI MAG A1000GL PCIE5,179.0,ATX,gold,1000,Full,Black
EVGA SuperNOVA 650 GA,120.69,ATX,gold,650,Full,Black
Thermaltake Toughpower,0.0,ATX,gold,750,Semi,Unknown
SeaSonic FOCUS SGX,0.0,SFX,gold,650,Full,Black
Thermaltake Toughpower SFX,159.99,SFX,gold,750,Full,Black
Asus ROG THOR 850P,349.99,ATX,platinum,850,Full,Black / Red
GameMax GX Pro Rampage,109.99,ATX,gold,850,Full,White
EVGA 500 GD,109.99,ATX,gold,500,false,Black
Corsair RM850x White,279.0,ATX,gold,850,Full,White / Black
EVGA 600 BQ,145.28,ATX,bronze,600,Semi,Unknown
EVGA 650 BQ,128.99,ATX,bronze,650,Semi,Unknown
Corsair RM750,171.99,ATX,gold,750,Full,Black
EVGA 650 N1,57.52,ATX,Unknown,650,false,Unknown
Silverstone DA650 Gold,0.0,ATX,gold,650,Full,Black / White
Deepcool DQ750-M-V2L,99.99,ATX,gold,750,Full,Black / Green
Corsair CV450,0.0,ATX,bronze,450,false,Black
SeaSonic G12 GM,0.0,ATX,gold,750,Semi,Black / Blue
Deepcool PX850G WH,155.73,ATX,gold,850,Full,White
Deepcool PF400 230V,0.0,ATX,plus,400,false,Black
Corsair CX650M,143.88,ATX,bronze,650,Semi,Unknown
SeaSonic FOCUS GX,0.0,ATX,gold,550,Full,Black
GameMax RGB Rainbow,109.99,ATX,gold,850,Full,Black
ADATA XPG Core Reactor II,129.99,ATX,gold,1000,Full,Black
SeaSonic VERTEX PX-1000,253.2,ATX,platinum,1000,Full,Black / Silver
